1.46	1.04	1
0.551	0.804	1
1.08	1.03	1
1.4	1.04	1
0.932	1.04	1
1.3	0.643	1
0.978	0.757	1
0.869	1.16	1
0.67	0.779	1
0.698	0.695	1
0.827	1.38	1
0.971	0.904	1
0.907	1.34	1
1.12	0.877	1
1.38	1.28	1
0.965	1.31	1
1.4	0.929	1
0.834	1.1	1
1.4	1.2	1
0.877	1.23	1
1.45	1.04	1
1.04	0.811	1
0.593	0.963	1
0.955	0.627	1
0.854	1.28	1
0.937	0.937	1
0.591	1.09	1
0.741	1.34	1
0.989	0.72	1
0.726	1.04	1
2.31	2.82	2
1.95	3.17	2
2.26	3.09	2
1.92	3.46	2
1.87	2.61	2
2.16	3.15	2
1.79	3.36	2
1.55	2.68	2
1.43	3.13	2
1.53	2.89	2
2.46	3.06	2
1.84	2.65	2
1.93	3.55	2
1.55	2.96	2
1.74	2.56	2
2.22	3.49	2
2.13	3.48	2
1.63	3.31	2
1.82	2.9	2
1.59	3.38	2
2.15	3.29	2
2.54	3	2
2.31	3.29	2
2.4	2.59	2
1.95	3.14	2
2.47	3.1	2
2.1	3.43	2
1.89	2.44	2
2.3	2.59	2
1.57	3.13	2
2.75	0.324	3
2.9	0.406	3
2.89	0.61	3
2.67	0.188	3
2.59	0.323	3
3.27	0.234	3
3.24	0.693	3
3.32	0.828	3
2.79	0.309	3
3.02	0.325	3
3.33	0.81	3
3.06	0.263	3
3.18	0.234	3
2.96	0.385	3
3.04	0.992	3
2.73	0.529	3
3.1	0.857	3
3.04	0.208	3
2.72	0.326	3
2.6	0.748	3
3.25	0.543	3
2.84	0.832	3
3.05	0.958	3
3.39	0.357	3
3.05	0.347	3
3.12	0.797	3
3.25	0.126	3
2.91	0.731	3
3.28	0.367	3
3.24	0.892	3
